Company,Date,Open,High,Low,Close,Adj Close,Volume
Uber,9/19/2019,34.200001,34.639999,33.68,33.82,33.82,6869600
Uber,9/20/2019,33.98,34.216999,32.5,32.599998,32.599998,11935400
Uber,9/23/2019,32.52,33.009998,32.060001,33,33,5513000
Uber,9/24/2019,33,33.145,31.01,31.299999,31.299999,10579900
Uber,9/25/2019,31.27,31.719999,30.76,31.68,31.68,7875000
Uber,9/26/2019,31.719999,32.130001,31.129999,31.57,31.57,6058700
Uber,9/27/2019,31.709999,31.9,30.129999,30.290001,30.290001,11846700
Uber,9/30/2019,30.4,30.735001,30.17,30.469999,30.469999,4986600
Uber,10/1/2019,30.370001,30.51,28.65,29.15,29.15,13380200
Uber,10/2/2019,28.67,29.549999,28.309999,29,29,8782400
Uber,10/3/2019,28.969999,29.879999,28.52,29.719999,29.719999,9412000
Uber,10/4/2019,29.9,30.18,28.9,29.67,29.67,8597700
Uber,10/7/2019,30.6,30.75,29.83,30.370001,30.370001,10083800
Uber,10/8/2019,30.01,30.15,29.17,29.280001,29.280001,7769100
Uber,10/9/2019,29.620001,29.620001,28.809999,29.07,29.07,7112900
Uber,10/10/2019,29.209999,29.280001,28.58,28.870001,28.870001,7716300
Uber,10/11/2019,28.950001,30.4,28.940001,30.129999,30.129999,10216900
Uber,10/14/2019,30.219999,31.540001,29.819,31.120001,31.120001,7945400
Uber,10/15/2019,31.200001,32.169998,31.195,32,32,7843800
Uber,10/16/2019,31.799999,32.380001,31.438,31.870001,31.870001,7781600
Uber,10/17/2019,31.799999,32.93,31.450001,32.619999,32.619999,7200800
Uber,10/18/2019,32.549999,32.66,31.27,32.060001,32.060001,7844500
Uber,10/21/2019,31.950001,32.283001,31.184999,31.41,31.41,7203400
Uber,10/22/2019,31.41,33.889999,30.219999,32.529999,32.529999,19214800
Uber,10/23/2019,32.869999,33.27,32.169998,33.049999,33.049999,6709800
Uber,10/24/2019,33,33.419998,32.509998,33.279999,33.279999,6729300
Uber,10/25/2019,33.200001,33.48,32.610001,32.709999,32.709999,8077300
Uber,10/28/2019,32.900002,33.355,32.5,33.220001,33.220001,7532800
Uber,10/29/2019,32.369999,32.919998,31.815001,32.419998,32.419998,9319200
Uber,10/30/2019,32.509998,33.799999,32.110001,33.75,33.75,10732700
Uber,10/31/2019,33.23,33.360001,31.26,31.5,31.5,15912400
Uber,11/1/2019,31.450001,31.700001,30.740999,31.370001,31.370001,10434300
Uber,11/4/2019,31.450001,31.75,30.120001,31.08,31.08,28787400
Uber,11/5/2019,29.129999,29.299999,27.969999,28.02,28.02,51963500
Uber,11/6/2019,26.059999,27.549999,25.58,26.940001,26.940001,130965700
Uber,11/7/2019,26.799999,27.42,26.450001,27.379999,27.379999,65861400
Uber,11/8/2019,27.48,27.620001,26.915001,27.01,27.01,44923600
Uber,11/11/2019,27.030001,27.209999,26.23,27.139999,27.139999,41138100
Uber,11/12/2019,27.379999,27.66,26.66,26.700001,26.700001,37095400
Uber,11/13/2019,26.469999,26.82,26.139999,26.709999,26.709999,32678300
Uber,11/14/2019,26.799999,26.860001,25.665001,25.99,25.99,27893900
Uber,11/15/2019,26.18,26.799999,25.955,26.790001,26.790001,41236200
Uber,11/18/2019,26.799999,27,26.299999,26.75,26.75,35916100
